# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
82368 82368 0  82368
      651     80445 1
      652     80444 1
      653     80673 1
      654     80858 1
      655     80750 1
      656     80744 1
      657     80733 1
      658     80734 1
      659     80749 1
      660     80742 1
      661     80721 1
      662     80725 1
      663     80729 1
      664     80438 1
      665     80898 1
      666     80891 1
      667     80642 1
      668     80864 1
      669     80835 1
      670     80556 1
      671     80493 1
      672     80496 1
      673     80483 1
      674     80481 1
      675     80491 1
      676     80571 1
      677     80574 1
      678     80164 1
      679     80593 1
      680     80582 1
      681     80579 1
      682     79923 1
      683     80217 1
      684     80210 1
      685     80156 1
      686     80117 1
      687     79765 1
      688     79757 1
      689     79787 1
      690     79512 1
      691     79862 1
      692     80311 1
      693     79045 1
      694     78556 1
      695     78039 1
      696     78534 1
      697     78972 1
      698     78535 1
      699     79444 1
      700     79945 1
      701     78008 1
      702     78009 1
      703     79497 1
      704     79491 1
      705     79545 1
      706     77492 1
      707     77480 1
      708     79331 1
      709     74598 1
      710     74024 1
      711     73457 1
      712     69935 1
      713     69312 1
      714     70525 1
      715     70566 1
      716     70557 1
      717     69970 1
      718     79977 1
      719     79951 1
      720     80343 1
      721     75170 1
      722     75733 1
      723     74646 1
      724     75202 1
      725     75204 1
      726     72922 1
      727     73492 1
      728     72894 1
      729     72332 1
      730     72358 1
      731     65435 1
      732     64718 1
      733     64673 1
      734     66093 1
      735     65397 1
      736     78025 1
      737     76990 1
      738     77497 1
      739     76998 1
      740     67458 1
      741     68103 1
      742     68725 1
      743     67423 1
      744     66749 1
      745     68067 1
      746     74629 1
      747     74062 1
      748     79513 1
      749     79058 1
      750     71742 1
      751     71134 1
      752     71164 1
      753     71773 1
      754     76989 1
      755     76985 1
      756     79339 1
      757     78876 1
      758     78864 1
      759     69349 1
      760     68691 1
      761     66127 1
      762     66781 1
      763     79361 1
      764     80304 1
      765     79954 1
      766     62148 1
      767     75722 1
      768     77314 1
      769     77855 1
      770     77866 1
      771     78382 1
      772     80229 1
      773     76486 1
      774     63088 1
      775     62137 1
      776     76274 1
      777     77328 1
      778     76793 1
      779     63919 1
      780     76491 1
      781     76492 1
      782     78373 1
      783     61090 1
      784     59946 1
      785     61083 1
      786     64705 1
      787     63956 1
      788     76781 1
      789     76261 1
      790     80195 1
      791     79825 1
      792     63065 1
      793     61101 1
      794     61098 1
      795     59802 1
      796     74028 1
      797     51429 1
      798     59936 1
      799     57336 1
      800     75970 1
      801     75943 1
      802     78582 1
      803     76477 1
      804     75406 1
      805     57342 1
      806     55962 1
      807     75944 1
      808     58547 1
      809     53004 1
      810     57337 1
      811     57329 1
      812     53024 1
      813     54518 1
      814     53010 1
      815     58550 1
      816     58701 1
      817     76459 1
      818     53029 1
      819     59942 1
      820     59799 1
      821     80367 1
      822     80380 1
      823     80381 1
      824     80352 1
      825     80336 1
      826     80371 1
      827     80368 1
      828     80330 1
      829     80331 1
      830     80019 1
      831     80020 1
      832     80033 1
      833     80360 1
      834     80356 1
      835     80090 1
      836     80097 1
      837     80101 1
      838     80095 1
      839     80111 1
      840     80084 1
      841     80085 1
      842     80105 1
      843     80031 1
      844     80029 1
      845     80079 1
      846     80076 1
      847     80542 1
      848     80544 1
      849     80430 1
      850     80434 1
      851     80422 1
      852     80411 1
      853     80412 1
      854     80429 1
      855     80419 1
      856     80403 1
      857     80404 1
      858     80072 1
      859     80589 1
      860     80303 1
      861     80546 1
      862     80549 1
      863     80130 1
      864     80127 1
      865     80135 1
      866     80121 1
      867     80125 1
      868     80219 1
      869     80216 1
      870     80240 1
      871     79782 1
      872     80246 1
      873     80247 1
      874     80228 1
      875     79514 1
      876     79845 1
      877     79833 1
      878     79834 1
      879     79729 1
      880     79733 1
      881     79335 1
      882     79326 1
      883     79057 1
      884     79852 1
      885     79939 1
      886     78045 1
      887     78076 1
      888     77520 1
      889     78476 1
      890     78019 1
      891     78968 1
      892     79432 1
      893     77482 1
      894     77489 1
      895     77483 1
      896     79094 1
      897     79033 1
      898     79027 1
      899     79538 1
      900     78855 1
      901     74609 1
      902     74042 1
      903     73461 1
      904     73472 1
      905     72900 1
      906     69323 1
      907     69943 1
      908     68695 1
      909     70534 1
      910     71155 1
      911     70552 1
