# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
81904 81904 0  81904
      797      3347 1
      798      3061 1
      799      3064 1
      800      3068 1
      801      3072 1
      802      3079 1
      803      3073 1
      804      3088 1
      805      3093 1
      806      3097 1
      807      3084 1
      808      3251 1
      809      3260 1
      810      3264 1
      811      3268 1
      812      3222 1
      813      3270 1
      814      3124 1
      815      3131 1
      816      3111 1
      817      3139 1
      818      3107 1
      819      3103 1
      820      3245 1
      821      3471 1
      822      3508 1
      823      3498 1
      824      3511 1
      825      3499 1
      826      3361 1
      827      3364 1
      828      3185 1
      829      3186 1
      830      3166 1
      831      3177 1
      832      3158 1
      833      3227 1
      834      3228 1
      835      3041 1
      836      3133 1
      837      3140 1
      838      3169 1
      839      3173 1
      840      3481 1
      841      3045 1
      842      3046 1
      843      3493 1
      844      3457 1
      845      3144 1
      846      3120 1
      847      3149 1
      848      3159 1
      849      3154 1
      850      3052 1
      851      3112 1
      852      3116 1
      853      3376 1
      854      3417 1
      855      3412 1
      856      3234 1
      857      3421 1
      858      3369 1
      859      3372 1
      860      3300 1
      861      3308 1
      862      3304 1
      863      3539 1
      864      3553 1
      865      3549 1
      866      3545 1
      867      3535 1
      868      3543 1
      869      3528 1
      870      3398 1
      871      3424 1
      872      3427 1
      873      3448 1
      874      3453 1
      875      3257 1
      876      3469 1
      877      3515 1
      878      3516 1
      879      3460 1
      880      3404 1
      881      3381 1
      882      3406 1
      883      3431 1
      884      3396 1
      885      3495 1
      886      3459 1
      887      3437 1
      888      3445 1
      889      3384 1
      890      3288 1
      891      3385 1
      892      3389 1
      893      3524 1
      894      3438 1
      895      3310 1
      896      3433 1
      897      4084 1
      898      4078 1
      899      4087 1
      900      3788 1
      901      3783 1
      902      3786 1
      903      3795 1
      904      3755 1
      905      3747 1
      906      3752 1
      907      3569 1
      908      3704 1
      909      3712 1
      910      3699 1
      911      3722 1
      912      3723 1
      913      3841 1
      914      3853 1
      915      3862 1
      916      3695 1
      917      3813 1
      918      3818 1
      919      3819 1
      920      3825 1
      921      3839 1
      922      3849 1
      923      3850 1
      924      3570 1
      925      3576 1
      926      3582 1
      927      3586 1
      928      3588 1
      929      3598 1
      930      3601 1
      931      3602 1
      932      3614 1
      933      3595 1
      934      3761 1
      935      3770 1
      936      3771 1
      937      3775 1
      938      3778 1
      939      3732 1
      940      3735 1
      941      3622 1
      942      3636 1
      943      3643 1
      944      3617 1
      945      3651 1
      946      3610 1
      947      4110 1
      948      4103 1
      949      4106 1
      950      4117 1
      951      4095 1
      952      3861 1
      953      3866 1
      954      3694 1
      955      3690 1
      956      3682 1
      957      3671 1
      958      3678 1
      959      3739 1
      960      3556 1
      961      3644 1
